term,definition
inventory,"Stock of consumer products available for sale, tracked in real-time across warehouses and fulfillment centers. Each product has a unique inventory ID and is associated with a category code."
catalog,"Complete collection of items available for purchase. For books, this includes new books, used books, and books available for order. For films, this includes physical media and digital content."
category,"Classification system for organizing products or books. Products are organized into categories for navigation and analysis, while books can belong to multiple categories for enhanced discoverability."
price,"The selling price of a single unit of a product or book, tracked in local currency. Used for pricing analysis, margin calculations, and inventory valuation."
unit price,"The selling price of a single unit of a product or book. Used for pricing analysis, margin calculations, and inventory valuation."
review,"Customer feedback on products, including ratings and written comments. Stored in the inventory review table and used for product quality assessment and customer satisfaction analysis."
rating,"Numeric score on a scale of 1-5 stars assigned to books by customers. Used to identify popular books, correlate with pricing, and guide recommendations. Average ratings can be calculated overall, by author, or by category."
availability,"Current stock status of books, indicated by availability status codes such as ""In Stock"", ""Available"", or ""Out of Stock"". Used to manage inventory, track stock levels, and inform customer expectations."
variant,"Version of a product that differs by size, color, material, style, or configuration. Each product may have multiple variants tracked in the inventory variant table."
description,"Text explaining what a product or book is or what it does. Used for catalog quality assessment and customer information. Missing descriptions indicate incomplete catalog data."
author,"Person who wrote a book, tracked in the author reference table with a unique author code and name. Author analysis includes book counts, average prices, total value, and popularity metrics."
director,"Person who directs a film, tracked in the director reference table with a unique director code and name. Director analysis includes film counts, filmography, and popularity metrics."
performer,"Actor or person who appears in a film, tracked in the performer reference table with a unique performer code and name. Associated with films through the media performer cross-reference table."
actor,"Person who appears in a film, tracked in the performer reference table. Associated with films through the media performer cross-reference table, with role information indicating the character or part played."
award,"Recognition or prize given to films, tracked in the award reference table with award category codes, names, and types. Associated with films through the media award cross-reference table, including award year information."
media,"Films, television series, and other entertainment content available in the catalog. Includes physical media such as DVDs and Blu-rays, as well as digital content."
film,"Movie or media title with director, release year, and associated metadata. Each film has a unique media ID and is tracked in the media master table."
title,"Name of a book or film. For books, this is the book title. For films, this is the media title. Title length and uniqueness are analyzed for catalog quality."
link,"URL or reference to a source page where data was originally collected. Used to track the source of product, book, or film information."
scraped,"Collected from a website or data source by automated extraction processes. The scraping date indicates when data about an item was collected or last updated in the system."
scraping date,"Timestamp indicating when data about a product, book, or film was collected or last updated. Used to track when items were added to the system and enables analysis of catalog growth and data freshness."
normalization,"Cleaning and deduplicating data so it is consistent before use. For MediaVerse, this includes extracting unique categorical data into separate dimension tables and referencing them via surrogate keys."
pipeline,"Sequence of steps that move and process data from source to destination. MediaVerse's pipeline includes scraping websites, processing data, normalizing into star schema, and loading into Snowflake."
extraction,"Pulling data out of a source such as a website. MediaVerse uses hybrid CSS selector and LLM extraction strategies to collect product, book, and film data."
validation,"Checking that data or logic meets rules or expectations. MediaVerse uses Pydantic models for data validation and tests queries to ensure they return results."
quality,"How good or reliable data or a process is. MediaVerse tracks catalog quality metrics including missing descriptions, duplicate titles, and data completeness."
semantic modeling,"Building a layer that gives data clear business meaning so AI and users can query in plain language. Maps technical table names to business-friendly concepts."
semantic view,"The translator that maps messy or technical warehouse tables into business-friendly concepts and answers. Enables natural language queries by providing business context."
natural language analytics,"Asking questions in plain English and getting answers from data. MediaVerse uses automated queries and semantic views to enable business users to query data without SQL knowledge."
supply chain,"Flow of goods and data from source to customer. MediaVerse's supply chain includes product sourcing, inventory management, order fulfillment, and customer delivery."
landed cost,"Total cost of a product including purchase price, shipping, duties, and other acquisition costs. Used for margin analysis and pricing strategy."
enterprise intelligence,"Using data and AI to support decision-making across the business at scale. MediaVerse uses 155+ automated queries and analytics to drive business decisions."
Snowflake Cortex,"Snowflake's native AI that lets you talk to your data in plain language and get accurate answers. Used by MediaVerse for natural language querying of business data."
AI-ready,"Data structured and described so that AI can answer business questions accurately. MediaVerse's data model and semantic views make data AI-ready for natural language queries."
cryptic tables,"Technical or abbreviated names in the warehouse that hide business meaning until a semantic layer translates them. MediaVerse uses non-obvious table names like INV_MAST and BK_CATALOG to mimic real-world messy environments."
product,"Item or good that can be sold, tracked in the inventory master table. Includes consumer products across categories such as electronics, home goods, lifestyle products, collectibles, and gifts."
book,"Written work in the catalog with title, author, price, rating, and availability status. Each book has a unique book ID and can belong to multiple categories."
unit,"Single item or piece. Unit price refers to the price per single item. Unit sales refer to the number of individual items sold."
similar product,"Another product that is related or comparable, used for recommendations. Tracked in the inventory similarity table with similarity scores indicating how closely products are related."
role,"Character or part played by a performer in a film. Tracked in the media performer cross-reference table, indicating which actor played which role in which film."
warehouse,"Place where data is stored and queried, specifically the Snowflake data warehouse where MediaVerse stores all business data in the SUPPLY_CHAIN schema."
data warehouse,"Central repository of data used for reporting and analytics. MediaVerse uses Snowflake as its data warehouse, storing normalized data in a star schema design."
insight,"Useful finding or conclusion drawn from data. MediaVerse generates insights through automated queries, analytics, and business intelligence reporting."
metric,"Measurable value such as count, average, sum, or percentage. MediaVerse tracks metrics including inventory counts, average prices, catalog sizes, and growth rates."
aggregate,"Summary of data such as sum, average, count, min, or max. Used in analytics to understand overall business performance and trends."
query,"Question or request to the data, written in SQL or asked in plain English. MediaVerse maintains 155+ automated SQL queries that run hourly to monitor business metrics."
source,"Origin of data such as a website or system. MediaVerse collects data from web-scraping.dev for products, books.toscrape.com for books, and scrapethissite.com for films."
raw data,"Unprocessed data as it was collected before cleaning or modeling. MediaVerse's scraping process collects raw data which is then normalized and loaded into the data warehouse."
business user,"Person who uses data for decisions but may not write code or SQL. MediaVerse's semantic views and natural language analytics enable business users to query data without technical knowledge."
decision-making,"Using data and insights to choose actions or strategy. MediaVerse's analytics infrastructure supports data-driven decision-making across all business functions."
plain English,"Everyday language not code or technical jargon for asking questions. MediaVerse enables plain English queries through semantic views and Snowflake Cortex."
business question,"Question a stakeholder would ask such as ""What is the average price by category?"" or ""How many books does each author have?"" MediaVerse's automated queries address common business questions."
translator,"Semantic layer that turns technical data names into business terms. Maps cryptic table names like INV_MAST to business concepts like ""inventory"" or ""products""."
business meaning,"How the business understands a term or metric versus its technical name. Semantic views provide business meaning for technical database structures."
messy data,"Data that is inconsistent, fragmented, or uses non-obvious naming. MediaVerse intentionally uses messy data structures with cryptic table names to mimic real-world environments."
fragmented,"Spread across many tables or sources so it is hard to see the full picture. MediaVerse's normalized schema intentionally fragments data across dimension, fact, and bridge tables."
load,"Move data into a warehouse or system after extraction. MediaVerse loads scraped and processed data into Snowflake using direct SQL INSERT statements."
ingest,"Bring data into a system such as from scraping into Snowflake. MediaVerse ingests data through its pipeline that scrapes websites, processes data, and loads into the data warehouse."
collect,"Gather data from one or more sources. MediaVerse collects data from three websites using automated scraping processes that run on a schedule."
automate,"Run a process such as scraping or a query on a schedule without manual steps. MediaVerse automates data collection, processing, and 155+ business queries that run hourly."
schedule,"When a task or job runs such as hourly. MediaVerse's automated queries run hourly using CRON schedule ""0 * * * * UTC"" to execute indefinitely."
report,"Formatted summary of data for stakeholders. MediaVerse generates reports through automated queries, dashboards, and business intelligence tools."
similarity score,"How closely two items such as products are related, used for recommendations. Tracked in the inventory similarity table to enable product recommendations."
in stock,"Available to order or sell. For books, this is indicated by availability status codes. For products, this is tracked through inventory levels."
out of stock,"Not currently available. For books, this is indicated by availability status. For products, this means inventory levels are zero or below reorder points."
dimension table,"Reference table containing descriptive attributes such as categories, authors, directors, or performers. Used in star schema design to normalize data and avoid redundancy."
fact table,"Table containing transactional or event data such as products, books, or films. Fact tables reference dimension tables through codes but do not enforce foreign key constraints."
bridge table,"Junction or cross-reference table that creates many-to-many relationships. Examples include book category cross-reference and media performer cross-reference tables."
star schema,"Data warehouse design using fact tables surrounded by dimension tables, resembling a star. MediaVerse uses this design for normalized, analytics-ready data structure."
quartile,"Statistical measure dividing data into four equal parts. Q1 is the 25th percentile, median is the 50th percentile, and Q3 is the 75th percentile. Used to understand price distributions."
interquartile range,"Statistical measure representing the spread of the middle 50% of data, calculated as Q3 minus Q1. Used to identify typical price ranges and detect outliers."
standard deviation,"Statistical measure of price variability and consistency. High standard deviation indicates diverse pricing while low standard deviation suggests consistent pricing strategy."
variance,"Statistical measure of how spread out prices are from the average. High variance indicates diverse pricing while low variance suggests consistent pricing."
coefficient of variation,"Normalized measure of variability relative to average price, calculated as standard deviation divided by mean. Enables comparison of price variability across different categories or product types."
outlier,"Item with unusually high or low price, typically more than 2 standard deviations from the mean. Helps identify pricing anomalies, data quality issues, or special pricing situations."
correlation,"Statistical measure of relationships between variables such as price and rating. Helps understand customer behavior, pricing effectiveness, and market dynamics."
percentile,"Value below which a given percentage of observations fall. Used in quartile analysis and to identify items in top or bottom percentage ranges."
distribution,"How prices, ratings, or other metrics are spread across the catalog. Understanding distributions helps with inventory planning, pricing strategy, and market positioning."
margin,"Profit margin calculated as revenue minus cost of goods sold, divided by revenue. MediaVerse tracks gross margins of 30-40% overall, with variations by product category."
revenue,"Income from sales of products, books, and media. MediaVerse generates revenue from direct sales, subscriptions, B2B services, and other streams."
fulfillment,"Process of receiving, processing, and shipping customer orders. MediaVerse operates fulfillment centers that handle order processing, packaging, and shipping."
supplier,"Vendor or manufacturer that provides products to MediaVerse. Supplier relationships are tracked for performance metrics including on-time delivery and quality."
publisher,"Company that publishes books. MediaVerse maintains relationships with publishers for book sourcing and catalog updates."
distributor,"Company that distributes products, books, or media content. MediaVerse works with distributors for inventory sourcing and catalog management."
customer segment,"Group of customers with similar characteristics such as avid readers, entertainment enthusiasts, or product shoppers. Used for targeted marketing and personalized experiences."
lifetime value,"Total revenue expected from a customer over their relationship with the business. MediaVerse models customer lifetime value to identify high-value customers."
subscription,"Recurring revenue model where customers pay monthly or annually for services. MediaVerse offers subscriptions for curated product boxes and premium memberships."
curation,"Process of carefully selecting and organizing products, books, or films. MediaVerse's curation team selects content based on quality, customer demand, and market trends."
recommendation,"Product, book, or film suggestion based on customer preferences, purchase history, or similarity analysis. MediaVerse uses AI-powered recommendation engines."
personalization,"Customizing experience or content for individual customers based on their preferences and behavior. MediaVerse personalizes recommendations, marketing, and product suggestions."
growth rate,"Percentage change in metrics over time such as catalog size or revenue. MediaVerse tracks growth rates for inventory expansion, catalog growth, and business expansion."
cumulative count,"Running total of items added over time. Used to track catalog growth and inventory expansion, showing how many items have been added since the beginning."
time-based analysis,"Analysis of metrics over time such as items added per day, growth rates, or cumulative counts. Enables understanding of business trends and patterns."
category performance,"Analysis of how product or book categories are performing in terms of sales, inventory value, or growth. Helps with merchandising and inventory planning."
inventory value,"Total value of all products in inventory, calculated as sum of unit prices. Used for financial reporting, inventory valuation, and business planning."
catalog value,"Total value of all books in the catalog, calculated as sum of unit prices. Used for catalog valuation and business planning."
author performance,"Analysis of authors including number of books, average prices, total value, and popularity metrics. Helps with merchandising and catalog management."
director performance,"Analysis of directors including number of films, filmography, and popularity metrics. Helps with media catalog management and content curation."
award analysis,"Analysis of awards including award counts, awards by year, and award-winning films. Helps understand media catalog quality and recognition."
availability status,"Current stock status of books indicated by codes such as ""In Stock"", ""Available"", or ""Out of Stock"". Used to manage inventory and inform customers."
catalog quality,"Metrics assessing catalog completeness and accuracy such as missing descriptions, duplicate titles, and data completeness. Used to maintain high-quality catalog data."
data freshness,"How current or up-to-date data is. MediaVerse tracks data freshness through scraping dates and ensures regular updates to maintain accurate information."
